alim_nom_fr;Energie (kcal/100 g);Proteines (g/100 g);Glucides (g/100 g);Lipides (g/100 g)
Dessert (aliment moyen);253;4,63;36,6;12,9
Légume sec, cuit (aliment moyen);103;8,38;12,1;0,62
Abricot au sirop (sans precision sur leger ou classique), appertise, egoutte (aliment moyen);69;0,5;16,2;0,25
Macedoine ou cocktail ou salade de fruits, au sirop (sans precision sur leger ou classique), appertise, egouttee (aliment moyen);66;0,25;16,2;0,25
Boisson rafraechissante sans alcool (aliment moyen);30;0,11;7,42;0,042
Boisson lactée aromatisée (areme inconnu), sucree, au lait partiellement ecreme, enrichie et/ou restauree en vitamines et/ou mineraux (aliment moyen);85;2,93;12,1;1,08
Vin (aliment moyen);13;0,09;3,29;0
Cidre (aliment moyen);13;0,069;3,22;0,083
Gateau (aliment moyen);393;5,27;53,5;17,8
patisserie (aliment moyen);370;5,04;44;17,2
Glace e l'eau ou sorbet ou creme glacee, tout parfum (aliment moyen);258;2,7;32,2;12
Glace ou creme glacee, bac ou pot (aliment moyen);226;2,87;24,9;6,21
Sauce (aliment moyen);273;1,3;6,04;25,7
Sauce froide (aliment moyen);305;0,86;5,73;31,6
Sauce chaude (aliment moyen);164;2,66;7,03;7,45
Olive noire (aliment moyen);188;1,49;0,05;19,5
Taboule ou Salade de couscous, preemballe;179;4,88;23,7;6,7
Salade de pomme de terre e la piemontaise, preemballee;130;4,5;8,87;8,3
Crudite, sans assaisonnement (aliment moyen);29,9;0,94;3,07;0,7
Salade vegetale e base de boulgour et/ou quinoa et legumes, preemballee;168;3,79;17,4;8,3
Salade de chou ou Coleslaw, avec sauce, preemballee;105;0,94;5,78;8,1
Soupe aux lentilles, preemballee e rechauffer;55;3,74;6,6;1,12
Soupe e la volaille et aux legumes, preemballee e rechauffer;30,8;3,09;2,6;0,8
Soupe aux legumes varies, preemballee e rechauffer;39,4;0,76;5,05;1,56
Soupe de poissons et / ou crustaces, preemballee e rechauffer;42,8;3,45;2,88;1,79
Soupe aux legumes varies, deshydratee reconstituee;34,5;0,86;4,43;1,22
Soupe aux poireaux et pommes de terre, preemballee e rechauffer;37,1;0,79;4,46;1,51
Soupe e la volaille et aux vermicelles, preemballee e rechauffer;30,8;1,3;3,86;1
Bouillon de viande et legumes type pot-au-feu, pret e consommer;4,8;0,2;0,1;0,4
Soupe e l'oignon, preemballee e rechauffer;40,4;1,35;4,93;1,4
Soupe aux champignons, preemballee e rechauffer;48,2;0,81;4,09;3,07
Soupe e la carotte, preemballee e rechauffer;33,2;0,61;3,89;1,41
Soupe e la tomate, preemballee e rechauffer;38,7;0,74;6,27;0,99
Soupe chorba frik, e base de viande et de frik;62,9;3,75;5,4;2,5
Soupe minestrone, preemballee e rechauffer;48,8;1,2;5,6;2
