alim_nom_fr;Energie (kcal/100 g);Protéines (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Fibres (g/100 g)
Pastis;274;0;2.86;0;0
Eau de vie de fruits;233;0;0.63;0;0
Gin;265;0;0;0;0
Liqueur;225;0.1;25.4;0.23;0
Rhum;234;0;0;0;0
Whisky;252;0;0.1;0;0
Vin doux;148;0.2;9.96;0;0
Apéritif à base de vin ou vermouth;137;0.05;11.3;0;0
Vodka;250;0;0;0;0
Pastis, prêt à boire (1+ 5);2;0;0.5;0;0
Apéritif anisé sans alcool, à diluer;6;0;1;0;1
Cocktail à base de rhum;121;0;7.74;2.19;0.3
Cocktail à base de whisky;166;0;15.8;0.02;0
Alcool pur;660;0;0;0;0
Marsala;211;0.1;27.9;0;0
Marsala aux oeufs;153;0;12.4;0;0
Sangria, faite maison;88.7;0;11;0.05;0
Kir (vin blanc, crème de cassis);74.7;0.18;3.3;0;0
Kir royal (champagne, crème de cassis);87.3;0.25;5.66;0;0
Crème de cassis;245;0;41;0;0
Cocktail type punch, 16% alcool, préemballé;159;0.6;17.8;0;0
Eau de vie de vin type armagnac ou cognac;222;0;0.76;0;0
Saké ou alcool de riz;113;0;0;0;0
Spécialité végétale type fromage à tartiner, au soja, préemballée;174;11.7;1.05;13.1;0
Spécialité végétale type fromage, à la noix de cajou, préemballée;441;14.5;15.2;35.3;2.6
Spécialité végétale type fromage en tranche ou râpé, sans soja, préemballée;271;0.25;21.2;20.1;2.3
Fines tranches végétales, préemballées;242;29.7;4.13;11.1;3.2
Spécialité végétale type pâté, préemballée;197;3.56;9.45;15.4;2.96
Haché à base de boeuf et soja, préemballé;214;15;2.48;14.6;4.5
Nuggets ou croquette panée de poulet (contenant du soja), préemballé;220;13.4;16.7;10.3;2
Saucisse de volaille type knack (contenant du soja), préemballée;208;12.1;2.72;15.8;1.1
Jus d'ananas, à base de concentré;52.3;0.41;11.9;0.1;0.18
Jus multifruit, pur jus, multivitaminé;48.4;0.48;11.3;0.1;0.25
Jus de fruits (aliment moyen);46.8;0.53;10.2;0.13;0.28
Jus de carotte, pur jus;29.4;0.4;6.55;0.1;0.33
Jus de citron, fait maison;28.6;0.35;2.52;0.24;0.3
Cocktail ou boisson apéritive sans alcool à base de jus de fruits et de sirop;46;0.42;10.9;0;0.36
Nectar multifruit, base pomme, standard;41.1;0.28;10;0;0
Nectar multifruit, base pomme, multivitaminé;36.4;0.05;9.1;0;0
Jus multifruit, base orange, multivitaminé;45.5;0.25;11.3;0;0
Jus d'orange, à base de concentré;45.6;0.63;9.59;0.13;0.25
Jus d'orange, frais;44.8;0.7;9.19;0.2;0.2
Jus de pomme, à base de concentré;48.5;0.24;11.3;0.1;0.3
Jus de pamplemousse (pomélo), à base de concentré;40.9;0.52;8.41;0.1;0.21
Jus de raisin, pur jus;69.2;0.25;16.3;0.06;0.14
Jus de grenade, pur jus;54;0.15;12.7;0.29;0.1
Jus de pruneau;77.4;0.37;18.7;0.04;0.45
Jus de raisin, à base de concentré;67.1;0.31;16;0.11;0.15
Nectar de fraise;47.5;0.3;11.3;0.1;0.1
Jus de mangue, frais;38.8;0.19;9.5;0;0
Jus de fruit de la passion ou maracudja, frais;61.7;0.67;14.3;0.18;0.2
Jus de pamplemousse (pomélo), frais;43.7;0.5;9.1;0.1;0.1
Jus de tomate, pur jus, salé à 3 g/L;23.2;0.88;4.13;0.17;0.23
Jus de pamplemousse (pomelo), pur jus;42.5;0.49;8.89;0.08;0.15
Jus de citron, pur jus;29.4;0.4;6.1;0.29;0.4
Jus de citron vert, frais;9.87;0.42;1.69;0.07;0.4
Jus de citron vert, pur jus;25.7;0.25;1.69;0.23;0.45
Jus de tomate, pur jus, salé à 6 g/L;20.1;0.88;3.32;0.11;0.56
Jus multifruit, à base de jus et purée de fruits;49.1;0.46;11.5;0.11;0.21
Jus de clémentine ou mandarine, pur jus;46.7;0.66;10.4;0.14;0.15
Jus multifruit, pur jus, standard;46.5;0.25;11.2;0;0
Jus multifruit, base raisin, standard;54.6;0.5;13;0;0.3
Jus multifruit, base orange, standard;46.8;0.7;10.4;0.16;0.44
Jus de grenade, frais;47.2;0.2;11.6;0;0
Jus de cerise des Antilles ou d'acérola, frais;22.9;0.4;4.5;0.3;0.3
Nectar d'abricot;58.6;0.21;13.7;0.03;0.08
Nectar de papaye;58.9;0.17;13.9;0.15;0.6
Jus multifruit, base pomme, standard;49.9;0.33;12.2;0;0
Jus multifruit, base pomme, multivitaminé;41.9;0.33;10.1;0;0
Jus de fruit(s) et de légume(s), pur jus;42.8;0.85;9.5;0;0.7
Jus de tomate, pur jus (aliment moyen);21.7;0.88;3.73;0.14;0.4
Nectar de poire;62.5;0.19;14.8;0.04;0.45
Nectar multifruit, multivitaminé;47.2;0.24;11.3;0.1;0.15
Nectar multifruit, standard;49.7;0.3;11.5;0.09;0.3
Nectar multifruit, base orange, multivitaminé;42.6;0.4;10.3;0;0
Nectar multifruit, base orange, standard;50.2;0.25;11.9;0.1;0.33
Nectar, avec édulcorants, allégé en sucres;23.2;0.17;5.49;0.04;0.11
Jus multifruit, à base de concentré, standard;49.6;0.52;11.2;0.15;0.62
Jus d'orange, pur jus;45.4;0.61;9.61;0.11;0.28
Jus multifruit, à base de concentré, multivitaminé;45.5;0.29;10.8;0.09;0.27
Jus de fruits, pur jus (aliment moyen);46.6;0.51;10.2;0.11;0.26
Jus d'ananas, pur jus;52.9;0.41;12.1;0.07;0.22
Jus de pomme, pur jus;48.9;0.17;11.4;0.14;0.23
Jus de légumes, pur jus (aliment moyen);24.3;0.72;4.69;0.13;0.37
Nectar de pomme;44.9;0.14;10.9;0.07;0.1
Jus de fruits, à base de concentré (aliment moyen);47.6;0.55;10.4;0.13;0.36
Nectar de fruit de la passion ou maracuja;68;0.3;15.2;0.1;0
Nectar de banane;53.8;0.23;12.8;0.05;0.51
Nectar de goyave;48;0.14;10.9;0.23;0.15
Nectar de mangue;52.1;0.21;11.3;0.08;0.16
Nectar de pêche;50.3;0.22;12.1;0.05;0.33
Nectar d'ananas;52.4;0.1;13;0;0
Nectar d'orange;41.6;0.32;9.19;0.09;0.2
Jus d'orange sanguine, pur jus;45.6;0.63;10.2;0.1;0.68
Jus de canneberge ou cranberry;49.8;0;12.1;0.13;0.1
