alim_code;alim_nom_fr;Energie (kcal/100 g);Protéines (g/100 g);Glucides (g/100 g);Lipides (g/100 g)
24999;Dessert (aliment moyen);;4,63;36,6;12,9
25601;Salade de thon et légumes, appertisée;-;9,15;7,74;4,7
25602;Salade composée avec viande ou poisson, appertisée;-;8,06;6,4;5,3
25605;Champignons à la grecque, appertisés;-;2,08;3,95;3,55
25606;Salade de pommes de terre, fait maison;-;2,68;9,9;8,2
25608;Taboulé ou Salade de couscous, préemballé;179;4,88;23,7;6,7
25609;Salade de pomme de terre à la piémontaise, préemballée;130;4,5;8,87;8,3
25614;Salade de riz, appertisée;-;5,13;16,1;4,35
25615;Salade de pâtes, végétarienne;-;5,7;13,7;8,1
25616;Crudité, sans assaisonnement (aliment moyen);29,9;0,94;3,07;0,7
25619;Salade de pâtes aux légumes, avec poisson ou viande, préemballée;-;5,19;14;9,94
25626;Macédoine de légumes en salade, avec sauce, préemballée;-;2,81;7;9,3
25628;Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée;-;8,13;4,88;10
25629;Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée;168;3,79;17,4;8,3
26257;Carottes râpées, avec sauce, préemballées;-;0,98;6,01;5
26258;Salade de betterave, avec sauce, préemballée;-;1,29;7,45;4,94
26259;Salade de chou ou Coleslaw, avec sauce, préemballée;105;0,94;5,78;8,1
26260;Salade de concombre à la crème/fromage blanc, préemballée;-;1,1;1,97;11,3
26261;Salade de lentilles et saucisse fumée, préemballée;-;7;8,9;11,8
26262;Salade grecque, avec sauce, préemballée;-;2;1,4;7,1
26263;Salade de riz à la niçoise, avec sauce, préemballée;-;4,45;15,8;6,08
26269;Taboulé ou Salade de couscous au poulet, préemballé;-;6,4;20,6;7,45
25900;Soupe aux lentilles, préemballée à réchauffer;55;3,74;6,6;1,12
25901;Soupe à la volaille et aux légumes, préemballée à réchauffer;30,8;3,09;2,6;0,8
25903;Soupe aux légumes variés, préemballée à réchauffer;39,4;0,76;5,05;1,56
25904;Soupe de poissons et / ou crustacés, préemballée à réchauffer;42,8;3,45;2,88;1,79
25905;Soupe aux légumes variés, déshydratée reconstituée;34,5;0,86;4,43;1,22
25907;Soupe aux poireaux et pommes de terre, préemballée à réchauffer;37,1;0,79;4,46;1,51
25908;Soupe à la volaille et aux vermicelles, préemballée à réchauffer;30,8;1,3;3,86;1
25909;Bouillon de viande et légumes type pot-au-feu, prêt à consommer;4,8;0,2;0,1;0,4
25910;Soupe à l'oignon, préemballée à réchauffer;40,4;1,35;4,93;1,4
25912;Soupe aux champignons, préemballée à réchauffer;48,2;0,81;4,09;3,07
25913;Soupe à la carotte, préemballée à réchauffer;33,2;0,61;3,89;1,41
25914;Soupe à la tomate, préemballée à réchauffer;38,7;0,74;6,27;0,99
25915;Soupe chorba frik, à base de viande et de frik;62,9;3,75;5,4;2,5
25916;Soupe minestrone, préemballée à réchauffer;48,8;1,2;5,6;2
25917;Soupe au pistou, déshydratée reconstituée;30,4;1,2;5,2;0,35
25919;Soupe de poissons et / ou crustacés, déshydratée reconstituée;29;0,91;5,09;0,5
25923;Soupe asiatique, avec pâtes, déshydratée reconstituée;29,8;0,97;5,25;0,44
25924;Soupe marocaine, déshydratée reconstituée;34,3;1,2;5,77;0,55
25925;Soupe aux poireaux et pommes de terre, déshydratée reconstituée;26,1;0,63;4,84;0,41
25928;Soupe à la volaille et aux légumes, déshydratée reconstituée;27,3;0,99;4,58;0,44
25930;Bouillon de boeuf, déshydraté reconstitué;9,05;0,6;1,33;0,15
25932;Soupe aux asperges, déshydratée reconstituée;35,3;0,6;5,14;1,31
25933;Soupe à la tomate et aux vermicelles, préemballée à réchauffer;37,7;1,1;5,87;0,8
25934;Soupe aux céréales et aux légumes, déshydratée reconstituée;47,8;1,4;6,8;1,4
25935;Soupe à la tomate, déshydratée reconstituée;36,2;0,76;5,79;0,97
