alim_nom_fr;Energie (kcal/100 g);Protéines (g/100 g);Glucides (g/100 g);Lipides (g/100 g)
Kamanioc, pulpe, cuit à la vapeur, prélevé à la Martinique;2,400;0,6;0,000;0
Papaye, pulpe, cuite à la vapeur, prélevée à la Martinique;2,520;0,63;0,000;0
Papaye, pulpe, crue, prélevée à la Martinique;2,710;0,67;0,000;0,0033
Concombre, pulpe, cru, prélevé à la Martinique;4,110;0,42;0,000;0,27
Banane jaune, pulpe, cuite à la vapeur, prélevée à la Martinique;4,753;1,06;0,000;0,057
Tomate, entière, crue, prélevée à la Martinique;4,780;1,06;0,000;0,06
Ti nain, pulpe, cuit à la vapeur, prélevé à la Martinique;4,970;1,13;0,000;0,05
Courge doubeurre (butternut), pulpe, cuite;5,550;1,23;0,000;0,07
Fruit à pain, pulpe, cuit à la vapeur, prélevé à la Martinique;6,150;1,29;0,000;0,11
Topinambour, pulpe, cuit à la vapeur, prélevé à la Martinique;6,540;1,23;0,000;0,18
Dachine, pulpe, cuit à la vapeur, prélevé à la Martinique;7,300;1,15;0,000;0,3
Scarole, crue;8,000;1,25;0,3;0,2
Concombre, pulpe avec graines, cru, prélevé à la Martinique;8,140;0,73;0,000;0,58
Pomme de terre nouvelle, bouillie/cuite à l'eau;8,460;1,44;0,000;0,3
Fenouil, bouilli/cuit à l'eau;8,620;1,13;0,8;0,100
Salicorne (Salicornia sp.), fraîche;9,240;0,67;1,1;0,24
Céleri branche, cuit;9,560;0,83;1,2;0,16
Giraumon (variété locale), pulpe, râpé, cru, prélevé à la Martinique;9,680;0,000;2,42;0,000
Cresson, feuille, cru, prélevé à la Martinique;9,900;2,25;0,000;0,1
Cardon, cru;10,500;0,7;1,7;0,1
Chou chinois (pak-choi ou pé-tsai), cuit;10,650;1,53;0,75;0,17
Tétragone cornue, cuite;10,730;1,3;1;0,17
Salade verte, crue, sans assaisonnement;10,940;1,01;1,5;0,1
Laitue, crue;12,320;1,3;1,33;0,2
Courge, crue;12,330;1,1;1,6;0,17
Laitue romaine, crue;12,460;1,24;1,2;0,3
Navet, surgelé, cru;12,900;0,82;2;0,18
Chicorée rouge, crue;12,900;1,4;1,6;0,1
Chou dur ou chou caraïbe, pulpe, cuit à la vapeur, prélevé à la Martinique;13,030;3,25;0,000;0,0033
Cresson de fontaine, cru;13,310;2,09;0,9;0,15
Vin (aliment moyen);13,520;0,09;3,29;0
Cidre (aliment moyen);13,903;0,069;3,22;0,083
Chou chinois ou pak-choi ou pé-tsai, cru;13,920;1,38;1,65;0,2
Giraumon (variété phoenix), pulpe, râpé, cru, prélevé à la Martinique;14,040;0,000;3,51;0,000
Chicorée verte, crue;14,100;1,9;0,5;0,5
Asperge, appertisée, égouttée;14,470;1,58;1,43;0,27
Courgette, pulpe et peau, surgelée, crue;14,740;1,19;2,18;0,14
Poivron vert, cuit;14,920;0,92;2,36;0,2
Giraumon (variété locale), pulpe, cuit à la vapeur, surgelé, prélevé à la Martinique;15,000;0,000;3,75;0,000
Aubergine, crue;15,300;1,12;2,39;0,14
Bambou, pousses, appertisées, égouttées;15,390;1,61;1,9;0,15
Laitue iceberg, crue;15,460;1,01;2,45;0,18
Potimarron, pulpe, cru;15,820;0,63;3,1;0,1
Chayote ou christophine ou chouchou, bouillie/cuite à l'eau;15,960;0,62;2,29;0,48
Tomate, pulpe et peau, bouillie/cuite à l'eau;15,990;0,95;2,8;0,11
Épinard, cuit;16,060;3,2;0,5;0,14
Artichaut, cuit;16,600;2,53;0,99;0,28
"Haricot mungo germé ou pousse de ""soja"", appertisé, égoutté";16,760;1,56;2,36;0,12
Asperge, bouillie/cuite à l'eau;16,840;2,68;0,81;0,32
Gombo, fruit, cuit;17,410;1,87;2,01;0,21
Chou-rave, cru;17,460;1,79;2,35;0,1
Giraumon (variété phoenix), pulpe, surgelé, cuit à la vapeur, prélevé à la Martinique;17,480;0,000;4,37;0,000
Massissi, pulpe, cru, prélevé à la Martinique;17,520;2,58;0,000;0,8
Légumes pour ratatouille, surgelés;17,761;1,01;3,23;0,089
Salade ou chicorée frisée, crue;17,770;1,48;2,4;0,25
Mesclun ou salade, mélange de jeunes pousses;18,000;2;2,5;0
Poireau, cuit;18,200;1,1;3;0,2
Céleri-rave, purée;18,420;1,37;2,83;0,18
Cardon, cuit;18,550;0,76;3,63;0,11
Potiron, cru;18,900;1;3,5;0,1
Épinard, surgelé, cru;19,450;2,87;0,89;0,49
Épinard, appertisé, égoutté;19,460;2,81;0,93;0,5
Oseille, crue;19,610;1,84;1,6;0,65
Asperge, pelée, crue;19,650;2,04;2,4;0,21
Brocoli, cuit;19,820;2,1;1,1;0,78
Chou rouge, bouilli/cuit à l'eau;20,130;1,51;3,32;0,09
Légumes pour couscous, cuits;20,190;1,53;2,55;0,43
Chou vert, cuit;20,330;1,03;3,04;0,45
Asperge, verte, crue;20,390;2,46;2,03;0,27
Navet, cuit;20,600;0,9;3,8;0,2
Haricot beurre, appertisé, égoutté;20,870;1,22;3,48;0,23
Brocoli, surgelé, cru;21,360;2,79;1,56;0,44
Chou vert, cru;21,490;2,53;1,92;0,41
